Journal,Issn,Publisher,Society,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
Journal of Experimental Botany,1460-2431,Oxford University Press,,https://academic.oup.com/jxb/pages/General_Instructions,1,Encourages dataset citation.,1,Requires a data availability statement and requires certain types of data be deposited into a public repository.,0,No mention of code sharing or availability statement.,0,"Encourages stating materials availability, but does not require it.",0,"Mentions use of MIQE guidelines, but this only applies to a specific experiment type.",0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,No mention of replication studies.,0,,0,,2
The Gerontologist,1758-5341,Oxford University Press,,https://academic.oup.com/gerontologist/pages/Instructions_To_Authors,0,No mention of dataset citation.,0,No mention of data sharing requirement or availability statement.,0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,0,No mention of reporting standards or guidelines for the different types of accepted submissions.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,No mention of replication.,0,,0,,0
Journal of Pediatric Psychology,1465-735X,Oxford University Press,,https://academic.oup.com/jpepsy/pages/author_instructions,0,No mention of dataset citation.,0,No mention of data sharing requirement or availability statement.,0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,1,Encourages use of a variety of reporting guidelines.,0,Requires preregistration for clinical trial work only.,0,Requires preregistration for clinical trial work only.,0,"Mentions replication, but link to policy regarding replication is missing.",0,,0,,1
Brain Communications,2632-1297,Oxford University Press,,https://academic.oup.com/braincomms/pages/General_Instructions,0,No mention of dataset citation.,1,Requires a data availability statement.,1,Requires a code availability statement as part of the data availability statement.,0,No mention of study materials sharing or availability statement.,1,Encourages use of a variety of reporting guidelines.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,3,Encourages replication studies and accepts them as Registered Reports.,3,,0,,9
Quarterly Journal of Economics,1531-4650,Oxford University Press,,https://academic.oup.com/qje/pages/Policies,,,2,Requires data sharing for publication of the study.,2,Requires sharing of programs used in analyzing the data.,0,No mention of study materials sharing or availability statement.,0,No mention of reporting standards or guidelines.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,"Mentions replication, but does not state if replications will be considered for publication by the journal.",0,,0,,4
"Work, Aging, and Retirement",2054-4650,Oxford University Press,,https://academic.oup.com/workar/pages/General_Instructions,0,No mention of dataset citation.,0,No mention of data sharing requirement or availability statement.,0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,0,No mention of reporting standards or guidelines.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,1,Will publish replication studies.,0,,0,,1
Age and Ageing,1468-2834,Oxford University Press,,https://academic.oup.com/ageing/pages/General_Instructions,0,"Mentions database citation for Systematic Reviews, but not for all submission types.",0,No mention of data sharing requirement or availability statement.,0,No mention of code sharing or code availability statement.,0,No mention of study materials sharing or availability statement.,1,Encourages use of PRISMA and CONSORT.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,No mention of replication.,0,,0,,1
Journal of Consumer Research,1537-5277,Oxford University Press,,http://www.ejcr.org/guidelines.htm,0,"Mentions use of secondary data, but no clear guidelines for citation are stated.",1," Disclosure is required through a data archiving form. Data must be archived, but criteria for sharing are not specified by the journal.",0,No mention of code sharing or availability statement.,2,Requires sharing of materials used in the study.,2,Journal has clear analysis reporting guidelines.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,Mentions replications can be included in supplemental materials.,0,,0,,5
Biostatistics,1468-4357,Oxford University Press,,https://academic.oup.com/biostatistics/pages/General_Instructions,0,,0,"Editorial checks for data and code reproducibility are included, but guidelines do not state whether this is a required check. ",0,"Editorial checks for data and code reproducibility are included, but guidelines do not state whether this is a required check. ",0,,0,,0,,0,,0,,0,,2,"Adds ""kite marks"" for data and code availability. Includes a reproducibility check for data and code that are shared.",2
Journal of Peace Research,1460-3578,SAGE,,https://www.prio.org/JPR/SubmissionsAndEnquiries/,1,,3,,3,,3,,0,,0,,0,,0,,0,,0,,10
Journal of Experimental Political Science,2052-2649,Cambridge University Press,,https://www.cambridge.org/core/journals/journal-of-experimental-political-science/information/instructions-contributors,1,,3,,3,,3,,0,,0,,0,,3,,3,,0,,16
Qualitative Psychology,2326-3598,American Psychological Association,,https://www.apa.org/pubs/journals/qua/index?tab=4,0,No mention of dataset citation.,0,"Expects authors to have the data available, but does not require data sharing or availability statements.",0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,0,No mention of reporting standards or guidelines.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,No mention of replication.,0,,0,,0
Peace and Conflict: Journal of Peace Psychology,1532-7949,American Psychological Association,,https://www.apa.org/pubs/journals/pac/index?tab=4,0,No mention of dataset citation.,0,"Expects authors to have the data available, but does not require data sharing or availability statements.",0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,0,No mention of reporting standards or guidelines.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,No mention of replication.,0,,0,,0
"Group Dynamics: Theory, Research, and Practice",1930-7802,American Psychological Association,,https://www.apa.org/pubs/journals/gdn/index?tab=4,0,No mention of dataset citation.,0,"Expects authors to have the data available, but does not require data sharing or availability statements.",0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,1,Encourages the use of the Journal Article Reporting Standards.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,No mention of replication.,0,,0,,1
Journal of Family Psychology,1939-1293,American Psychological Association,,https://www.apa.org/pubs/journals/fam/index?tab=4,0,No mention of dataset citation.,0,"Expects authors to have the data available, but does not require data sharing or availability statements.",0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,0,"Encourages use of CONSORT guidelines for RCTs, but no recommendations for all types of published work.",0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,1,Encourages replication studies.,0,,0,,1
Psychology & Neuroscience,1983-3288,American Psychological Association,,https://www.apa.org/pubs/journals/pne/index?tab=4,0,No mention of dataset citation.,0,"Expects authors to have the data available, but does not require data sharing or availability statements.",0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,0,No mention of reporting standards or guidelines.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,No mention of replication.,0,,0,,0
Evolutionary Behavioral Sciences,2330-2933,American Psychological Association,,https://www.apa.org/pubs/journals/ebs/index?tab=4,0,No mention of dataset citation.,0,"Expects authors to have the data available, but does not require data sharing or availability statements.",0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,1,Encourages use of the Journal Article Reporting Standards.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,1,"Offers ""modules"" for authors submitting replications. ",0,,0,,2
Psychology and Aging,1939-1498,American Psychological Association,,https://www.apa.org/pubs/journals/pag/index?tab=4,0,No mention of dataset citation.,0,"Encourages data sharing, but does not require data availability statements.",0,"Encourages analysis code sharing, but does not require an availability statement.",0,"Encourages material sharing, but does not require an availability statement.",1,Encourages use of Journal Article Reporting Standards (JARS).,1,"Encourages preregistration and, if preregistered, requires a link be provided to it.",1,Policy mentions use of analysis plans in preregistrations.,0,No mention of replication.,0,,0,,3
Developmental Psychology,1939-0599,American Psychological Association,,https://www.apa.org/pubs/journals/dev/index?tab=4,0,No mention of dataset citation.,0,"Asks authors to disclose data availability, but does not publish the availability of the data.",0,"Asks authors to disclose code availability, but does not publish the availability of the code.",0,"Asks authors to disclose materials availability, but does not publish the availability of the materials.",0,"Mentions the TOP Guidelines, but does not encourage the use of any reporting guidelines.",0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,No mention of replication.,0,,0,,0
 Behavioral Development,1942-0722,American Psychological Association,,https://www.apa.org/pubs/journals/bdb/index?tab=4,0,No mention of dataset citation.,0,"Expects authors to have the data available, but does not require data sharing or availability statements.",0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,0,No mention of reporting standards or guidelines.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,1,Encourages replication studies.,0,,0,,1
Experimental and Clinical Psychopharmacology,1936-2293,American Psychological Association,,https://www.apa.org/pubs/journals/pha/index?tab=4,2,Requires dataset citation.,0,"Encourages data sharing, but does not require data availability statement. ",0,"Encourages code sharing, but does not require code availability statement. ",0,"Encourages materials sharing, but does not require materials availability statement. ",1,"Recommends use of JARS, requires use of CONSORT for clinical RCTs",1,"Encourages analysis plan and requires link to it if it exists,",1,Encourages preregistration and requires link to it if it exists,1,Publishes replication studies.,0,,0,,6
Decision,2325-9973,American Psychological Association,,https://www.apa.org/pubs/journals/dec/index?tab=4,0,No mention of dataset citation.,0,"Expects authors to have the data available, but does not require data sharing or availability statements.",0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,0,No mention of reporting standards or guidelines.,0,"Offers preregistration badge on self-disclosure basis, but does not encourage preregistration or require linking to preregistrations if they exist.",0,"Offers preregistration with analysis plan badge on self-disclosure basis, but does not encourage preregistration or require linking to preregistrations if they exist.",0,No mention of replication.,0,,2,,2
Journal Of Comparative Psychology,1939-2087,American Psychological Association,,https://www.apa.org/pubs/journals/com/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,2
Behavioral Neuroscience,1939-0084,American Psychological Association,,https://www.apa.org/pubs/journals/bne/index?tab=4,0,,0,"Expects authors to have the data available, but does not require data sharing or availability statements.",0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,0,,0,,0,,3,"Encourages replication studies, and strongly encourages they be conducted as Registered Reports.",3,Offers Registered Reports for novel and replication work.,0,,6
Journal of Neuroscience,1529-2401,,,https://www.jneurosci.org/content/information-authors,0,No mention of data citation.,0,"Encourages data sharing and data availability statements, but no requirement.",0,"Encourages code sharing and availability statement, but no requirements.",0,"Encourages sharing, but does not require an availability statement.",0,,0,"Encourages disclosure of preregistration, but does not require linking to preregistrations.",0,"Encourages disclosure of preregistration, but does not require linking to preregistrations.",0,,0,,0,,0
Alzheimer's and Dementia,1552-5260,Elsevier,,https://alz-journals.onlinelibrary.wiley.com/hub/journal/15525279/homepage/author-guidelines,1,Encourages data citation.,0,No data sharing requirement or statement of availability.,0,No mention of code availability.,0,No mention of materials availability.,0,No mention of reporting guidelines.,0,No mention of preregistration.,0,No mention of preregistration with an analysis plan.,0,,0,,0,,1
Biological Psychiatry,0006-3223,Elsevier,,http://cdn.elsevier.com/promis_misc/BPS_Guide_for_Authors_1.1.20.pdf,1,Encourages data citation.,0,No data sharing requirement or statement of availability.,0,No mention of code availability.,0,"Materials sharing required for some types of material, but no policy for all research materials.",1,Encourages use of a variety of reporting standards.,0,No mention of preregistration for non-clinical work.,0,No mention of preregistration for non-clinical work.,0,,0,,0,,2
Molecular Psychiatry,1476-5578,,,https://www.nature.com/documents/mp-gta.pdf,,,1,Requires availability statement.,0,No mention of code availability.,1,Requires availability statement.,0,,0,"Requires registration for clinical trials, but no mention of preregistration for non-clinical work.",0,"Requires registration for clinical trials, but no mention of preregistration for non-clinical work.",0,,0,,0,,2
The Lancet Psychiatry,2215-0366,Elsevier,,https://www.thelancet.com/pb-assets/Lancet/authors/tlp-info-for-authors.pdf,0,,0,Requires availability statements for clinical trials only.,0,,0,,1,Encourages use of a variety of reporting guidelines.,0,,0,,0,,0,,0,,1
 EMBO Journal,1460-2075,,,https://www.embopress.org/page/journal/14602075/authorguide,1,,1,Requires availability statement.,1,Requires availability statement.,1,Requires a materials availability statement.,1,Encourages use of guidelines from EQUATOR website.,0,,0,,0,,0,,0,,5
Acta Neuropathologica,1432-0533,Springer Nature,,https://www.springer.com/journal/401/submission-guidelines,1,Encourages dataset citation.,1,Requires availability statement.,1,Requires availability statement.,0,No mention of study materials sharing or availability statement.,1,Recommends a variety of reporting checklists.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,No mention of replication.,0,,0,,4
Science Bulletin,2095-9273,Elsevier,,https://www.elsevier.com/journals/science-bulletin/2095-9273/guide-for-authors,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Journal of Advanced Research,2090-1232,Elsevier,,https://www.elsevier.com/journals/journal-of-advanced-research/2090-1232/guide-for-authors,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Science Advances,2375-2548,AAAS,,https://advances.sciencemag.org/content/information-authors,2,,2,,2,,1,Authors include materials availability statement.,1,Encourages use of guidelines from EQUATOR website.,1,,1,,1,,0,,0,,11
Journal of Business and Psychology,1573-353X,Springer Nature,,https://www.springer.com/journal/10869/submission-guidelines,1,,0,"Journal encourages data sharing and use of data availability statements, but does not require it. ",0,Journal encourages code availably  declaration but does not require it. ,0,,1,,0,"Journal specifies that clinical trials must be registered, but does not mention registration of other research.",0,,0,,0,,0,,2
The Leadership Quarterly,1048-9843,Elsevier,,https://www.elsevier.com/journals/the-leadership-quarterly/1048-9843/guide-for-authors,1,,0,"The journal does instruct data to be be posted in repositories, but it is not clear if that is a requirement. Other statements in instructions indicate that this is encouraged, not required, as is the use of data availability statements. ",0,Sharing of analytical code is encouraged. ,0,,2,"""Data reporting"" section provides specific guidelines for complete reporting. ",0,,0,,3,,3,,0,,9
Genome Research,1549-5469,Cold Spring Harbor Laboratory Press,,https://genome.cshlp.org/site/misc/ifora_overview.xhtml,2,,2,Requires that all reported data be publicly available upon publication.,2,Now requires code transparency.,2,Requires physical material identification and sharing when possible,0,,0,,0,,0,,0,,0,,8
Royal Society Open Science,2054-5703,Royal Society Publishing,,https://royalsocietypublishing.org/rsos/for-authors,2,,2,,2,,2,,0,,0,,0,,3,,3,,0,,14
Structure,0969-2126,Cell Press,,https://www.cell.com/structure/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,,0,,0,,11
Neuron,0896-6273,Cell Press,,https://www.cell.com/neuron/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,,0,,0,,11
Molecular Cell,1097-2765,Cell Press,,https://www.cell.com/molecular-cell/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,,0,,0,,11
Immunity,1074-7613,Cell Press,,https://www.cell.com/immunity/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,,0,,0,,11
Heliyon,2405-8440,Cell Press,,https://www.cell.com/heliyon/guide-for-authors,1,Dataset citation is encouraged.,0,"States that data must be available, but it is unclear if this must be in a repository or otherwise. ",0,"Encourages analysis code sharing, but does not require an availability statement.",0,"Encourages analysis code sharing, but does not require an availability statement.",1,Encourages use of reporting guidelines from BioSharing.,0,Requires preregistration for clinical trial work only.,0,Requires preregistration for clinical trial work only.,0,,1,"Research judged on technical soundness only, not perceived impact.",0,,3
Developmental Cell,1534-5807,Cell Press,,https://www.cell.com/developmental-cell/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,,0,,0,,11
Current Biology,0960-9822,Cell Press,,https://www.cell.com/current-biology/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,,0,,0,,11
Chem,2451-9294,Cell Press,,https://www.cell.com/chem/authors,0,No mention of dataset citation.,1,Requires availability statement.,1,Requires code availability statement as part of STAR Methods,1,Requires a materials availability statement.,0,Does not require or mention the STAR Methods.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,No mention of replication.,0,,0,,3
Cell Systems,2405-4712,Cell Press,,https://www.cell.com/cell-systems/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,,0,,0,,11
Cell Stem Cell,1934-5909,Cell Press,,https://www.cell.com/cell-stem-cell/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,,0,,0,,11
Cell Reports Physical Science,2666-3864,Cell Press,,https://www.cell.com/cell-reports-physical-science/authors,0,,1,"Requires a data availability statement. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",1,Requires a code availability statement.,1,Requires a materials availability statement.,0,,0,,0,,0,,0,,0,,3
Cell Reports Medicine,2666-3791,Cell Press,,https://www.cell.com/cell-reports-medicine/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",1,Requires a code availability statement as part of STAR Methods.,1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,0,,0,,1,,0,,0,,8
Cell Reports,2211-1247,Cell Press,,https://www.cell.com/cell-reports/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,,0,,0,,11
Cell Metabolism,1550-4131,Cell Press,,https://www.cell.com/cell-metabolism/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,,0,,0,,11
Cell Host and Microbe,1931-3128,Cell Press,,https://www.cell.com/cell-host-microbe/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,,0,,0,,11
Cell Chemical Biology,2451-9456,Cell Press,,https://www.cell.com/cell-chemical-biology/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required.,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,,0,,0,,11
Cancer Cell,1535-6108,Cell Press,,https://www.cell.com/cancer-cell/authors,2,,1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations. ,1,,0,,0,,11
Educational Technology Research and Development,1556-6501,Springer Nature,,https://www.springer.com/journal/11423/submission-guidelines,1,,0,Data sharing and data availability statements are encouraged. ,0,,0,,1,,0,,0,,0,,0,,0,,2
The Elementary School Journal,1554-8279,University of Chicago Press,,https://www.journals.uchicago.edu/journals/esj/instruct,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Psychology in the Schools,1520-6807,Wiley,,https://onlinelibrary.wiley.com/page/journal/15206807/homepage/forauthors.html,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,3
eLife,2050-084X,,,https://reviewer.elifesciences.org/author-guide/journal-policies,2,,2,,2,,2,,2,,1,"If preregistered, authors are instructed to link to the preregistration.",1,,1,,0,Publishes Registered Reports of replication studies for a special issue: The Reproducibility Project: Cancer Biology (conducted by the Center for Open Science),0,,13
Nature Sustainability,2398-9629,Springer Nature,,https://www.nature.com/natsustain/info/gta,1,,1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,,0,,9
Nature Protocols,1750-2799,Springer Nature,,https://www.nature.com/nprot/for-authors/preparing-your-submission,1,,1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,,1,,0,"Likely follows preregistration policy common to all Nature Research journals, but not specified in author guidelines.",1,"Likely follows replication policy common to all Nature Research journals, but not specified in author guidelines.",1,,0,,11
Nature Physics,1745-2481,Springer Nature,,https://www.nature.com/nphys/for-authors/preparing-your-submission,1,,1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,,0,,9
Nature Neuroscience,1546-1726,Springer Nature,,https://www.nature.com/neuro/for-authors/preparing-your-submission,1,,1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,,0,,11
Nature Microbiology,2058-5276,Springer Nature,,https://www.nature.com/nmicrobiol/info/gta,1,,1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,,0,,9
Nature Metabolism,2522-5812,Springer Nature,,https://www.nature.com/natmetab/for-authors/preparing-your-submission,1,,1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,,0,,9
Nature Materials,1476-4660,Springer Nature,,https://www.nature.com/nmat/for-authors/preparing-your-submission,1,,1,,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,i,1,Encourages submission of replication studies.,0,,0,,9
Nature Immunology,1529-2916,Springer Nature,,https://www.nature.com/ni/for-authors/preparing-your-submission,1,,1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,,0,,11
Nature Geoscience,1752-0908,Springer Nature,,https://www.nature.com/ngeo/for-authors/preparing-your-submission,1,,1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,,0,,9
Nature Food,2662-1355,Springer Nature,,https://www.nature.com/natfood/for-authors/preparing-your-submission,1,,1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,,0,,9
Nature Electronics,2520-1131,Springer Nature,,https://www.nature.com/natelectron/info/gta,1,,1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,,0,,11
