Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
PSYCHOANALYTIC DIALOGUES,1048-1885,1940-9222,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Psychoanalysis"
PSYCHOANALYTIC INQUIRY,0735-1690,1940-9133,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Psychoanalysis"
PSYCHOANALYTIC PSYCHOLOGY,0736-9735,1939-1331,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Clinical | Psychology, Psychoanalysis"
PSYCHOANALYTIC QUARTERLY,0033-2828,2167-4086,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Psychology, Psychoanalysis"
PSYCHOANALYTIC STUDY OF THE CHILD,0079-7308,2474-3356,ROUTLEDGE,"2 PARK SQ, MILTON PARK, ABINGDON, ENGLAND, OXFORD, OX14 4RN",English,"Psychology, Psychoanalysis"
PSYCHOLOGIA,0033-2852,1347-5916,PSYCHOLOGIA SOC,"DEPT EDUC PSYCHOL FAC EDUC KYOTO UNIV, KYOTO, JAPAN, 606",Multi-Language,"Psychology, Multidisciplinary"
PSYCHOLOGICA BELGICA,0033-2879,0033-2879,UBIQUITY PRESS LTD,"2N, 6 OSBORNE ST, LONDON, ENGLAND, E1 6TD",English,"Psychology, Multidisciplinary"
PSYCHOLOGICAL ASSESSMENT,1040-3590,1939-134X,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Clinical"
PSYCHOLOGICAL BULLETIN,0033-2909,1939-1455,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Multidisciplinary"
PSYCHOLOGICAL INQUIRY,1047-840X,1532-7965,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary"
PSYCHOLOGICAL MEDICINE,0033-2917,1469-8978,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,"Psychiatry | Psychology, Clinical"
PSYCHOLOGICAL METHODS,1082-989X,1939-1463,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Multidisciplinary"
PSYCHOLOGICAL RECORD,0033-2933,2163-3452,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Multidisciplinary"
PSYCHOLOGICAL REPORTS,0033-2941,1558-691X,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Multidisciplinary"
PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,0340-0727,1430-2772,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",English,"Psychology, Experimental"
PSYCHOLOGICAL REVIEW,0033-295X,1939-1471,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Multidisciplinary"
PSYCHOLOGICAL SCIENCE,0956-7976,1467-9280,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Multidisciplinary"
PSYCHOLOGICAL SCIENCE IN THE PUBLIC INTEREST,1529-1006,1539-6053,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Multidisciplinary"
PSYCHOLOGICAL SERVICES,1541-1559,1939-148X,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Clinical"
PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,1942-9681,1942-969X,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Clinical | Psychiatry"
PSYCHOLOGIE FRANCAISE,0033-2984,NA,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,"65 RUE CAMILLE DESMOULINS, CS50083, ISSY-LES-MOULINEAUX, FRANCE, 92442",French,"Psychology, Multidisciplinary"
PSYCHOLOGIE IN ERZIEHUNG UND UNTERRICHT,0342-183X,NA,ERNST REINHARDT GMBH CO VERLAG,"KEMNATENSTRASSE 46, MUNICH 19, GERMANY, D-80639",German,"Psychology, Educational"
PSYCHOLOGISCHE RUNDSCHAU,0033-3042,2190-6238,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",German,"Psychology, Multidisciplinary"
PSYCHOLOGIST,0952-8229,0952-8229,BRITISH PSYCHOLOGICAL SOC,"ST ANDREWS HOUSE, 48 PRINCESS RD EAST, LEICESTER, ENGLAND, LEICS, LE1 7DR",English,"Psychology, Multidisciplinary"
PSYCHOLOGY AND AGING,0882-7974,1939-1498,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Developmental | Gerontology"
PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE,1476-0835,2044-8341,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychiatry | Psychology, Clinical"
PSYCHOLOGY CRIME & LAW,1068-316X,1477-2744,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary | Law | Criminology & Penology"
PSYCHOLOGY & HEALTH,0887-0446,1476-8321,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,"Psychology, Multidisciplinary | Public, Environmental & Occupational Health"
PSYCHOLOGY IN THE SCHOOLS,0033-3085,1520-6807,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Educational"
PSYCHOLOGY & MARKETING,0742-6046,1520-6793,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Business | Psychology, Applied"
PSYCHOLOGY OF ADDICTIVE BEHAVIORS,0893-164X,1939-1501,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Multidisciplinary | Substance Abuse"
PSYCHOLOGY OF AESTHETICS CREATIVITY AND THE ARTS,1931-3896,1931-390X,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Experimental"
PSYCHOLOGY OF LEARNING AND MOTIVATION,0079-7421,NA,ELSEVIER ACADEMIC PRESS INC,"525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Experimental"
PSYCHOLOGY OF MEN & MASCULINITIES,1524-9220,1939-151X,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Social"
PSYCHOLOGY OF MUSIC,0305-7356,1741-3087,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Educational | Psychology, Experimental | Psychology, Applied"
PSYCHOLOGY OF RELIGION AND SPIRITUALITY,1941-1022,1943-1562,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Multidisciplinary"
PSYCHOLOGY OF SPORT AND EXERCISE,1469-0292,1878-5476,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied"
PSYCHOLOGY OF VIOLENCE,2152-0828,2152-081X,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Clinical | Family Studies | Criminology & Penology"
PSYCHOLOGY OF WOMEN QUARTERLY,0361-6843,1471-6402,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Multidisciplinary | Women'S Studies"
PSYCHOLOGY PUBLIC POLICY AND LAW,1076-8971,1939-1528,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Multidisciplinary | Health Policy & Services | Law"
PSYCHOLOGY RESEARCH AND BEHAVIOR MANAGEMENT,1179-1578,1179-1578,DOVE MEDICAL PRESS LTD,"PO BOX 300-008, ALBANY, NEW ZEALAND, AUCKLAND, 0752",English,"Psychology, Clinical | Psychology, Multidisciplinary"
PSYCHOLOGY & SEXUALITY,1941-9899,1941-9902,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary"
PSYCHOMETRIKA,0033-3123,1860-0980,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Mathematical | Social Sciences, Mathematical Methods"
PSYCHONOMIC BULLETIN & REVIEW,1069-9384,1531-5320,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Mathematical | Psychology, Experimental"
PSYCHO-ONCOLOGY,1057-9249,1099-1611,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary | Social Sciences, Biomedical"
PSYCHOPHYSIOLOGY,0048-5772,1469-8986,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Biological | Psychology, Experimental"
PSYCHOSIS-PSYCHOLOGICAL SOCIAL AND INTEGRATIVE APPROACHES,1752-2439,1752-2447,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Psychiatry"
PSYCHOSOCIAL INTERVENTION,1132-0559,2173-4712,COLEGIO OFICIAL PSICOLOGOS MADRID,"C/CUESTA SAN VICENTE, NO 4, 6 PLANTA, MADRID, SPAIN, 28008","English, Spanish","Psychology, Multidisciplinary"
PSYCHOSOMATIC MEDICINE,0033-3174,1534-7796,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,"Psychiatry | Psychology, Multidisciplinary"
PSYCHOTHERAPEUT,0935-6185,1432-2080,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",German,"Psychology, Clinical | Psychology, Psychoanalysis"
PSYCHOTHERAPIE PSYCHOSOMATIK MEDIZINISCHE PSYCHOLOGIE,0937-2032,1439-1058,GEORG THIEME VERLAG KG,"RUDIGERSTR 14, STUTTGART, GERMANY, D-70469",German,"Psychology, Clinical"
PSYCHOTHERAPY,0033-3204,1939-1536,"AMER PSYCHOLOGICAL ASSOC, DIV PSYCHOTHERAPY","1390 SOUTH DIXIE HIGHWAY, STE 2222, CORAL GABLES, USA, FL, 33146-2946",English,"Psychology, Clinical"
PSYCHOTHERAPY RESEARCH,1050-3307,1468-4381,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical"
QUALITATIVE RESEARCH IN PSYCHOLOGY,1478-0887,1478-0895,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary"
QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,1747-0218,1747-0226,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Experimental"
READING AND WRITING,0922-4777,1573-0905,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Psychology, Educational | Education & Educational Research"
READING RESEARCH QUARTERLY,0034-0553,1936-2722,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Educational | Education & Educational Research"
REHABILITATION PSYCHOLOGY,0090-5550,1939-1544,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Clinical | Rehabilitation"
RESEARCH IN AUTISM SPECTRUM DISORDERS,1750-9467,1878-0237,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,"Psychology, Developmental | Rehabilitation | Education, Special | Psychiatry"
RESEARCH IN HUMAN DEVELOPMENT,1542-7609,1542-7617,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Developmental"
RESEARCH IN ORGANIZATIONAL BEHAVIOR,0191-3085,NA,ELSEVIER,"Radarweg 29, PO Box 211, AMSTERDAM, NETHERLANDS, 1000 AE",English,"Management | Psychology, Applied"
RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,0835-1813,1532-7973,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Communication | Linguistics | Psychology, Social"
RESEARCH QUARTERLY FOR EXERCISE AND SPORT,0270-1367,2168-3824,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied"
REVIEW JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,2195-7177,2195-7185,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",English,"Psychology, Developmental"
REVIEW OF GENERAL PSYCHOLOGY,1089-2680,1939-1552,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Multidisciplinary"
REVISTA ARGENTINA DE CLINICA PSICOLOGICA,0327-6716,1851-7951,RAFFLES CONNECT PTE LTD,"530, Upper Cross Street, 03-102, Hong Lim Complex, Singapore, Singapore, 051531",Spanish,"Psychology, Clinical"
REVISTA DE PSICODIDACTICA,1136-1034,2254-4372,ELSEVIER ESPANA,"CALLE DE ZURBANO, 76-4TH FLR LEFT, MADRID, SPAIN, 28010",Spanish,"Psychology, Educational | Education & Educational Research"
REVISTA DE PSICOLOGIA DEL DEPORTE,1132-239X,1988-5636,UNIV ILLES BALEARS,"SERVEI PUBLICACIONS INTERCANVI CIENTIFIC CAS JAI, CAMPUS UNIV, CARRETERA VALLDEMOSSA, K M 7 5, PALMA, SPAIN, ILLES BALEARS, 07122","Spanish, English","Psychology, Applied"
REVISTA IBEROAMERICANA DE DIAGNOSTICO Y EVALUACION-E AVALIACAO PSICOLOGICA,2183-6051,2183-6051,AIDEP,"MARIO BRAVO 427 1 C, CAPITAL FEDERAL, BUENOS AIRES, ARGENTINA, C175ASM CPA",Spanish,"Psychology, Clinical"
REVISTA LATINOAMERICANA DE PSICOLOGIA,0120-0534,NA,FOUNDATION ADVANCEMENT PSYCHOLOGY,"APARTADO AEREO 92621, BOGOTA D C, COLOMBIA,",Spanish,"Psychology, Multidisciplinary"
REVISTA MEXICANA DE PSICOLOGIA,0185-6073,NA,SOC MEXICANA PSICOLOGIA,"APARTADO POSTAL 22-211, TLALPAN, MEXICO, 14000",Spanish,"Psychology, Multidisciplinary"
SCANDINAVIAN JOURNAL OF PSYCHOLOGY,0036-5564,1467-9450,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary"
SCHOOL MENTAL HEALTH,1866-2625,1866-2633,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Developmental | Psychology, Educational"
SCHOOL PSYCHOLOGY,2578-4218,2578-4226,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",NA,"Psychology, Educational"
SCHOOL PSYCHOLOGY INTERNATIONAL,0143-0343,1461-7374,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Educational"
SCHOOL PSYCHOLOGY QUARTERLY,1045-3830,1939-1560,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Educational"
SCHOOL PSYCHOLOGY REVIEW,0279-6015,2372-966X,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Psychology, Educational"
SCIENTIFIC STUDIES OF READING,1088-8438,1532-799X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Educational | Education & Educational Research"
SELF AND IDENTITY,1529-8868,1529-8876,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Social"
SEX ROLES,0360-0025,1573-2762,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Developmental | Women'S Studies | Psychology, Social"
SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,1079-0632,1573-286X,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Clinical | Criminology & Penology"
SEXUAL AND RELATIONSHIP THERAPY,1468-1994,1468-1749,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical"
SMALL GROUP RESEARCH,1046-4964,1552-8278,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Social | Management | Psychology, Applied"
SOCIAL BEHAVIOR AND PERSONALITY,0301-2212,1179-6391,SOC PERSONALITY RES INC,"P O BOX 1539, PALMERSTON NORTH, NEW ZEALAND, 5330",English,"Psychology, Social"
SOCIAL COGNITION,0278-016X,NA,GUILFORD PUBLICATIONS INC,"370 SEVENTH AVE, SUITE 1200, NEW YORK, USA, NY, 10001-1020",English,"Psychology, Social"
SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE,1749-5016,1749-5024,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,"Psychology, Experimental"
SOCIAL DEVELOPMENT,0961-205X,1467-9507,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Developmental"
SOCIAL INFLUENCE,1553-4510,1553-4529,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Social"
SOCIAL ISSUES AND POLICY REVIEW,1751-2395,1751-2409,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Social | Social Issues"
SOCIAL JUSTICE RESEARCH,0885-7466,1573-6725,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Sociology | Psychology, Social"
SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,1948-5506,1948-5514,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Social"
SOCIAL PSYCHOLOGY,1864-9335,2151-2590,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",English,"Psychology, Social"
SOCIAL PSYCHOLOGY OF EDUCATION,1381-2890,1573-1928,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Psychology, Educational"
SOCIAL PSYCHOLOGY QUARTERLY,0190-2725,1939-8999,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Social"
SOUTH AFRICAN JOURNAL OF PSYCHOLOGY,0081-2463,2078-208X,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Multidisciplinary"
SPANISH JOURNAL OF PSYCHOLOGY,1138-7416,1988-2904,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,"Psychology, Multidisciplinary"
SPATIAL COGNITION AND COMPUTATION,1387-5868,1542-7633,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Psychology, Experimental"
SPORT EXERCISE AND PERFORMANCE PSYCHOLOGY,2157-3905,2157-3913,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied"
SPORT PSYCHOLOGIST,0888-4781,1543-2793,HUMAN KINETICS PUBL INC,"1607 N MARKET ST, PO BOX 5076, CHAMPAIGN, USA, IL, 61820-2200",English,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied"
STRESS AND HEALTH,1532-3005,1532-2998,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychiatry | Psychology, Applied"
STUDIA PSYCHOLOGICA,0039-3320,2585-8815,SLOVAK ACAD SCIENCES INST EXPERIMENTAL PSYCHOLOGY,"DUBRAVSKA CESTA 9, BRATISLAVA, SLOVAKIA, 813 64",English,"Psychology, Multidisciplinary"
STUDIES IN EDUCATIONAL EVALUATION,0191-491X,NA,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Psychology, Educational | Education & Educational Research"
STUDIES IN PSYCHOLOGY,0210-9395,1579-3699,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",Multi-Language,"Psychology, Multidisciplinary"
SUICIDE AND LIFE-THREATENING BEHAVIOR,0363-0234,1943-278X,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary | Psychiatry"
SWISS JOURNAL OF PSYCHOLOGY,1421-0185,1662-0879,VERLAG HANS HUBER,"LANGGASS-STRASSE 76, BERN 9, SWITZERLAND, CH-3000",English,"Psychology, Multidisciplinary"
TEACHING OF PSYCHOLOGY,0098-6283,1532-8023,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Multidisciplinary | Education & Educational Research"
TERAPIA PSICOLOGICA,0718-4808,0718-4808,SOCIEDAD CHILENA PSICOLOGIA CLINICA,"RICARDO MATTE PEREZ 492 PROVIDENCIA, SANTIAGO, CHILE, 00000",Spanish,"Psychology, Clinical"
THEORY & PSYCHOLOGY,0959-3543,1461-7447,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Multidisciplinary"
THINKING & REASONING,1354-6783,1464-0708,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Experimental"
TOPICS IN COGNITIVE SCIENCE,1756-8757,1756-8765,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Experimental"
TRAINING AND EDUCATION IN PROFESSIONAL PSYCHOLOGY,1931-3918,1931-3926,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Educational"
TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,1369-8478,1873-5517,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,"Transportation | Psychology, Applied"
TRAVAIL HUMAIN,0041-1868,2104-3663,PRESSES UNIV FRANCE,"6 AVENUE REILLE, PARIS CEDEX 14, FRANCE, 75685",Multi-Language,"Ergonomics | Psychology, Applied"
TRENDS IN COGNITIVE SCIENCES,1364-6613,1879-307X,ELSEVIER SCIENCE LONDON,"84 THEOBALDS RD, LONDON, ENGLAND, WC1X 8RR",English,"Psychology, Experimental"
TURK PSIKOLOJI DERGISI,1300-4433,1300-4433,TURKISH PSYCHOLOGISTS ASSOC,"PK 117, ANKARA, TURKEY, 06662",Multi-Language,"Psychology, Multidisciplinary"
UNIVERSITAS PSYCHOLOGICA,1657-9267,2011-2777,"PONTIFICA UNIV JAVERIANA, FAC PSYCH","CARRERA 5 NUM 39-00, EDIFICIO MANUEL BRICENO, BOGOTA, COLOMBIA, 00000",Spanish,"Psychology, Multidisciplinary"
VERHALTENSTHERAPIE,1016-6262,1423-0402,KARGER,"ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009",German,"Psychology, Clinical"
VISUAL COGNITION,1350-6285,1464-0716,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Experimental"
VOPROSY PSIKHOLOGII,0042-8841,NA,MEZHDUNARODNAYA KNIGA,"39 DIMITROVA UL., MOSCOW, RUSSIA, 113095",Russian,"Psychology, Educational"
WILEY INTERDISCIPLINARY REVIEWS-COGNITIVE SCIENCE,1939-5078,1939-5086,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Experimental"
WOMEN & THERAPY,0270-3149,1541-0315,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary | Women'S Studies"
