Timestamp,Select your initials,Enter journal name,Enter society affiliation (if applicable),Provide perma.cc link(s) to policy information on journal website,Data citation,Data citation justification quote,Data transparency,Data transparency justification quote,Analytical code transparency,Analytical code transparency justification quote,Materials transparency,Materials transparency justification quote,Reporting guidelines,Reporting guidelines justification quote,Study preregistration,Study preregistration justification quote,Analysis pre-registration,Analysis pre-registration justification text,Replication,Replication justification quote,Publication bias,Publication bias justification quote,Open science badges,Open science badges justification quote,If there's anything unusual or important to note about this journal write it here
9/5/2020 4:07:39,BAN,Journal of Applied Sport Psychology,,https://perma.cc/9AA3-6PKN,0. No mention of data citation.,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" No guidance on data citation.","0. Data sharing is encouraged, or not mentioned.","""If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found."" ""Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns."" ""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" Encouraged, not required data availability regardless of availability.","0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 4:11:29,BAN,Mind & Language,,https://perma.cc/U8DQ-N3Y3,2. Article requires appropriate citation for data and materials used consistent with the journal's author guidelines.,"""Please review Wiley’s Data Citation policy.""","0. Data sharing is encouraged, or not mentioned.","""This journal encourages data sharing.""","0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 13:33:41,BAN,Journal of Experimental Child Psychology,,https://perma.cc/YTW2-JRFY,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""","0. Data sharing is encouraged, or not mentioned.","""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission. "" Encouraged, not required.","0. Code sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""","0. Materials sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 13:37:22,BAN,Journal of Substance Abuse Treatment,,https://perma.cc/84FB-W6LY,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""","0. Data sharing is encouraged, or not mentioned.","""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission. "" Encouraged, not required.","0. Code sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""","0. Materials sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 13:40:49,BAN,Addictive Behaviors,,https://perma.cc/TGJ8-MJPW,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""","0. Data sharing is encouraged, or not mentioned.","""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission."" Encouraged, not required.","0. Code sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""","0. Materials sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 13:43:11,BAN,Infants & Young Children,International Society on Early Intervention,https://perma.cc/2TZS-W9DF,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 13:51:11,BAN,Journal of Clinical Psychiatry,American Society of Clinical Psychopharmacology,https://perma.cc/J3XU-47XC,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"""For manuscripts that report analyses of preexisting data sets, provide details related to accessing the data set, including

1. the individual or organization that owns the data set (ie, holds copyright)
2. where the data set resides (if possible, provide a URL at which it can be accessed)
3. contact information of someone who can provide access to or further information about the data set, if it is not accessible via a URL
This information should be inserted as a statement into the text’s Method, eg, “The original data set is available from...,” or any wording that's appropriate, or inserted at the end of the article (just before references), eg, “Additional information: The [full proper name of database] can be found at [specific URL].”"" Rules are clear, but they explicitly do not put the data as a citation into the references.","0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,1. Journal articulates design transparency standards.,"""CONSORT Statement
The CONSORT Statement provides guidelines for improved reporting of clinical trials through the use of a checklist and study flow diagram.

PRISMA Statement
The PRISMA Statement provides guidelines for transparent reporting of systematic reviews and meta-analyses through the use of a checklist and study flow diagram.""",0. Journal says nothing.,"""Clinical trials registration number, with a hot-link or URL to the registration page, must be included in both the abstract and text of any manuscript reporting a clinical trial."" Requires registration only for clinical trials.",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 15:03:56,TEH,JOURNAL OF MEMORY AND LANGUAGE,,https://perma.cc/2WVZ-VLR6,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"""Note that any publication that reports analyses of or refers to archived data will be expected to cite the original publication in which the data were reported."" ""...you can link to relevant data or entities through identifiers within the text of your manuscript, using the following format: Database: xxxx (e.g., TAIR: AT1G01020; CCDC: 734053; PDB: 1XFN).""","2. Articles must have publicly available data, or an explanation why ethical or legal constraints prevent it.","""All empirical papers must archive their data upon acceptance in order to be published unless the authors provide a compelling reason why they cannot (e.g., expense, confidentiality). The action editor will be the final arbiter of whether the reason is sufficiently compelling.""","0. Code sharing is encouraged, or not mentioned.","To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.","0. Materials sharing is encouraged, or not mentioned.","To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",1. Journal articulates design transparency standards.,"All animal experiments should comply with the ARRIVE guidelines and should be carried out in accordance with the U.K. Animals (Scientific Procedures) Act, 1986 and associated guidelines, EU Directive 2010/63/EU for animal experiments, or the National Institutes of Health guide for the care and use of Laboratory animals (NIH Publications No. 8023, revised 1978) and the authors should clearly indicate in the manuscript that such guidelines have been followed. ",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 15:22:22,TEH,JOURNAL OF MATHEMATICAL PSYCHOLOGY,,https://perma.cc/Z2KZ-RKQH,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"""The journal also encourages authors to cite relevant datasets in the text of their manuscripts and to include data references in their Reference Lists. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in the published article.""",1. Articles must state whether or not data are available. Requiring a data availability statement satisfies this level,"""Authors must, in the acknowledgments or first footnote, indicate whether they will make their original data available to other researchers. If authors agree to make their data available, then they should provide a link to the repository where the data can be accessed. This is only a requirement for articles that report original experimental data: Theoretical articles or articles that reanalyze published data need not provide such a declaration, nor need articles that reproduce original data in full in text, tables, or figures.""","0. Code sharing is encouraged, or not mentioned.","""While it is not a requirement for publication, authors are also encouraged to make available to other researchers any original computer code used in their theoretical developments or data analysis.""","0. Materials sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 15:33:22,TEH,BIOLOGICAL PSYCHOLOGY,,https://perma.cc/XCP5-X8ES,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""","0. Data sharing is encouraged, or not mentioned.","""To foster transparency, we encourage you to state the availability of your data in your submission. This may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you will have the opportunity to indicate why during the submission process, for example by stating that the research data is confidential. The statement will appear with your published article on ScienceDirect. For more information, visit the Data Statement page.""","0. Code sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""","0. Materials sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0. No mention of reporting guidelines.,"""...animal experiments should comply with the ARRIVE guidelines and should be carried out in accordance with the U.K. Animals (Scientific Procedures) Act, 1986 and associated guidelines, EU Directive 2010/63/EU for animal experiments, or the National Institutes of Health guide for the care and use of Laboratory animals (NIH Publications No. 8023, revised 1978) and the authors should clearly indicate in the manuscript that such guidelines have been followed.""",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
10/8/2020 11:52:19,TEH,JOURNAL OF ORGANIZATIONAL BEHAVIOR,,https://perma.cc/VRG6-THND,0. No mention of data citation.,"Prior use of Dataset

If the dataset in the manuscript has been used in a previously published study or if the dataset is currently under review elsewhere, the authors will need to provide a data transparency table as part of the submission process (this will not be part of the actual submitted manuscript). This table should list all of the variables from the dataset and all of the studies coming from the data, and demonstrate the independence of each of the manuscripts developed from the shared dataset.","0. Data sharing is encouraged, or not mentioned.","Data Sharing and Data Accessibility

The journal encourages authors to share the data and other artefacts supporting the results in the paper by archiving it in an appropriate public repository. Authors should include a data accessibility statement, including a link to the repository they have used, in order that this statement can be published alongside their paper.All accepted manuscripts may elect to publish a data availability statement to confirm the presence or absence of shared data. If you have shared data, this statement will describe how the data can be accessed, and include a persistent identifier (e.g., a DOI for the data, or an accession number) from the repository where you shared the data. Sample statements are available on Author Services. If published, statements will be placed in the heading of your manuscript.","0. Code sharing is encouraged, or not mentioned.","Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.","0. Materials sharing is encouraged, or not mentioned.","Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.",0. No mention of reporting guidelines.,,0. Journal says nothing.,"Clinical Trial Registration

The journal requires that clinical trials are prospectively registered in a publicly accessible database and clinical trial registration numbers should be included in all papers that report their results. Authors are asked to include the name of the trial register and the clinical trial registration number at the end of the abstract. If the trial is not registered, or was registered retrospectively, the reasons for this should be explained.",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
10/8/2020 12:08:34,TEH,PHYSIOLOGY & BEHAVIOR,,https://perma.cc/8U7T-FHGX,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"Data references
This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.","0. Data sharing is encouraged, or not mentioned.","Research data

This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.

Data statement
To foster transparency, we encourage you to state the availability of your data in your submission. This may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you will have the opportunity to indicate why during the submission process, for example by stating that the research data is confidential. The statement will appear with your published article on ScienceDirect. For more information, visit the Data Statement page.","0. Code sharing is encouraged, or not mentioned.","To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.","0. Materials sharing is encouraged, or not mentioned.","To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",0. No mention of reporting guidelines.,"All animal experiments should comply with the ARRIVE guidelines and should be carried out in accordance with the U.K. Animals (Scientific Procedures) Act, 1986 and associated guidelines, EU Directive 2010/63/EU for animal experiments, or the National Institutes of Health guide for the care and use of Laboratory animals (NIH Publications No. 8023, revised 1978) and the authors should clearly indicate in the manuscript that such guidelines have been followed. ",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
10/8/2020 12:22:04,TEH,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,Association for Child and Adolescent Mental Health ,https://perma.cc/G2VQ-TRKN,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.","Access to data and Data sharing
If the study includes original data, at least one author must confirm that he or she had full access to all the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis.

The journal encourages all authors to share the data and other artefacts supporting the results in the paper by archiving it in an appropriate public repository. Authors may provide a data availability statement, including a link to the repository they have used, in order that this statement can be published in their paper. Shared data should be cited.

More information is available here

All data must be made available on request of the editor-in-chief either before or after submission. Failure to do so before acceptance will result in rejection of the paper and after acceptance in retraction of the paper.","0. Code sharing is encouraged, or not mentioned.",The journal encourages all authors to share the data and other artefacts supporting the results in the paper by archiving it in an appropriate public repository.,"0. Materials sharing is encouraged, or not mentioned.",The journal encourages all authors to share the data and other artefacts supporting the results in the paper by archiving it in an appropriate public repository. ,2. Journal requires adherence to design transparency standards for review and publication.,"Randomised controlled trials
The Journal requires authors to conform to CONSORT 2010 (see CONSORT Statement) in relation to the reporting of randomised controlled clinical trials; also recommended is the Extensions of the CONSORT Statement with regard to cluster randomised controlled trials.In particular, authors of RCTs must include in their paper a flow chart illustrating the progress of subjects through the trial (CONSORT diagram) and the CONSORT checklist. The flow diagram should appear in the main paper, the checklist in the online Appendix.

Systematic Reviews
Systematic reviews should conform to the PRISMA guidelines.
",0. Journal says nothing.,"Randomised controlled trials
...Trial registry name, registration identification number, and the URL for the registry should also be included at the end of the methods section of the Abstract and again in the Methods section of the main text, and in the online manuscript submission. The manuscript should include sample size calculation and should specify primary and secondary trial outcomes/endpoints.

Trials should be registered in one of the ICJME-recognised trial registries such as:

Australian New Zealand Clinical Trials Registry https://www.anzctr.org.au/
Clinical Trials http://www.clinicaltrials.gov
ISRCTN Register http://isrctn.org
Nederlands Trial Register http://www.trialregister.nl/trialreg/index.asp
UMIN Clinical Trials Registry http://www.umin.ac.jp/ctr

Trial registration must include a pre-registered, date stamped, publicly available protocol setting out, at least, the research question, hypotheses, primary outcome and statistics plan. These requirements apply to all trials whatever their academic provenance (i.e., including trials of educational and social work interventions) or whether they include a clinical outcome (i.e., those trials that focus on a mechanism of action rather than symptoms or functional impairment retain the requirement for pre-registration). Authors must state whether the primary trial report is referenced and if they have identified the study as a secondary analysis of existing trial data.

Systematic Reviews
...The journal strongly encourages the pre-registration of review protocols on publicly accessible platforms. From 2021 this will be mandatory.

Other submissions
Pre-registration of studies with all other types of designs on publicly available platforms is encouraged. All pre-registered studies accepted for publication will be flagged following publication. ",3. Journal requires that confirmatory or inferential research must be preregistered with an analysis plan.,"Trial registration must include a pre-registered, date stamped, publicly available protocol setting out, at least, the research question, hypotheses, primary outcome and statistics plan. ",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
10/8/2020 12:30:38,TEH,AUTISM,National Autistic Society,https://perma.cc/P4H6-32VQ,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"Autism encourages authors to use data citation practices that identify a dataset’s author(s), title, date, version, and a persistent identifier. In sum, data should be referenced and cited, where possible, as an intellectual product of value.","0. Data sharing is encouraged, or not mentioned.","2.9 Data Policy Statement

Autism supports open research practices and FAIR principles. As such encourages authors to share their data wherever possible and submit their data (or a link to it) and where applicable, their syntax/command files for the analyses presented in the contribution. Authors can make data available through a third party data repository or on the journal website as a supplementary data file. 

If cited data is restricted (e.g. classified, require confidentiality protections, were obtained under a non-disclosure agreement, or have inherent logistical constraints), authors should notify the editor at the time of submission. The editor shall have full discretion to follow their journal’s policy on restricted data, including declining to review the manuscript or granting an exemption with or without conditions. The editor shall inform the author of this decision prior to review.

Where data is sensitive and cannot be shared in an open forum, authors are encouraged to share metadata and provide a contact for requesting access if the raw data itself cannot be made available.

Data can be submitted with your article and hosted on the SAGE Autism website where we work with Figshare to host data content. Authors can use a recognised third party data repository service to host their data such as Open Science framework. Authors may use their institution’s data sharing repository. ","0. Code sharing is encouraged, or not mentioned.","2.9 Data Policy Statement

Autism supports open research practices and FAIR principles. As such encourages authors to share their data wherever possible and submit their data (or a link to it) and where applicable, their syntax/command files for the analyses presented in the contribution. 
...
Autism also encourages authors to delineate clearly the analytic procedures upon which their published claims rely, and where possible provide access to all relevant analytic materials. If such materials are not published with the article, we encourage authors to share to the greatest extent possible through a digital repository (above).","0. Materials sharing is encouraged, or not mentioned.","4.3 Supplementary material

This journal is able to host additional materials online (e.g. datasets, podcasts, videos, images etc) alongside the full-text of the article. For more information please refer to our guidelines on submitting supplementary files.",2. Journal requires adherence to design transparency standards for review and publication.,"2.8 Reporting guidelines

2.8.1 Transparent reporting of trials

The relevant EQUATOR Network reporting guidelines should be followed depending on the type of study. For example, all randomized controlled trials submitted for publication should include a completed CONSORT flow chart as a cited figure and the completed CONSORT checklist should be uploaded with your submission as a supplementary file. Systematic reviews and meta-analyses should include the completed PRISMA flow chart as a cited figure and the completed PRISMA checklist should be uploaded with your submission as a supplementary file. The EQUATOR wizard can help you identify the appropriate guideline.

The What Works Clearinghouse (WWC) guidelines should be followed when submitting in single-case design (SCD) and meet the standards outlined for internal validity of the SCD. 

Other resources can be found at NLM’s Research Reporting Guidelines and Initiatives",0. Journal says nothing.,"2.7 Clinical trials

Autism conforms to the ICMJE requirement that clinical trials are registered in a WHO-approved public trials registry at or before the time of first patient enrolment as a condition of consideration for publication. The trial registry name and URL, and registration number must be included at the end of the abstract.",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
10/8/2020 12:44:11,TEH,JOURNAL OF APPLIED RESEARCH IN MEMORY AND COGNITION,,https://perma.cc/BD6V-LGZG,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"In addition, you can link to relevant data or entities through identifiers within the text of your manuscript, using the following format: Database: xxxx (e.g., TAIR: AT1G01020; CCDC: 734053; PDB: 1XFN).

...

Data references

This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article",1. Articles must state whether or not data are available. Requiring a data availability statement satisfies this level,"Research data

This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.

...

Data statement
To foster transparency, we encourage you to state the availability of your data in your submission. This may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you will have the opportunity to indicate why during the submission process, for example by stating that the research data is confidential. The statement will appear with your published article on ScienceDirect. For more information, visit the Data Statement page.",1. Articles must state whether or not code is available. Requiring a code availability statement satisfies this level.,"Data, Analytic Methods (Code), and Research Materials Transparency

The policy of the Journal of Applied Research in Memory and Cognition is to publish papers where authors indicate whether the data, methods used in the analysis, and materials used to conduct the research will be made available to any researcher for purposes of reproducing the results or replicating the procedure.

Authors must, in acknowledgments or the first footnote, indicate if they will or will not make their data, analytic methods, and study materials available to other researchers. If an author agrees to make materials available, the author must specify where that material will be available.
",1. Articles must state whether or not materials are available. Requiring a materials availability statement satisfies this level.,"Data, Analytic Methods (Code), and Research Materials Transparency

The policy of the Journal of Applied Research in Memory and Cognition is to publish papers where authors indicate whether the data, methods used in the analysis, and materials used to conduct the research will be made available to any researcher for purposes of reproducing the results or replicating the procedure.

Authors must, in acknowledgments or the first footnote, indicate if they will or will not make their data, analytic methods, and study materials available to other researchers. If an author agrees to make materials available, the author must specify where that material will be available.",0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
10/8/2020 12:55:25,TEH,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,,https://perma.cc/A9JQ-DQP8,0. No mention of data citation.,,"2. Articles must have publicly available data, or an explanation why ethical or legal constraints prevent it.","Data Sharing and Data Accessibility

The British Journal of Mathematical and Statistical Psychology recognizes the many benefits of archiving data for scientific progress. Archived data provides an indispensable resource for the scientific community, making possible future replications and secondary analyses, in addition to the importance of verifying the dependability of published research findings.

The journal expects that where possible all data supporting the results in papers published are archived in an appropriate public archive offering open access and guaranteed preservation. The archived data must allow each result in the published paper to be recreated and the analyses reported in the paper to be replicated in full to support the conclusions made.  Authors are welcome to archive more than this, but not less.

All papers need to be supported by a data archiving statement and the data set must be cited in the Methods section. The paper must include a link to the repository in order that the statement can be published.

It is not necessary to make data publicly available at the point of submission, but an active link must be included in the final accepted manuscript. For authors who have pre-registered studies, please use the Registered Report link in the Author Guidelines.

In some cases, despite the authors’ best efforts, some or all data or materials cannot be shared for legal or ethical reasons, including issues of author consent, third party rights, institutional or national regulations or laws, or the nature of data gathered. In such cases, authors must inform the editors at the time of submission. It is understood that in some cases access will be provided under restrictions to protect confidential or proprietary information. Editors may grant exceptions to data access requirements provided authors explain the restrictions on the data set and how they preclude public access, and, if possible, describe the steps others should follow to gain access to the data.

If the authors cannot or do not intend to make the data publicly available, a statement to this effect, along with the reasons that the data is not shared, must be included in the manuscript.","0. Code sharing is encouraged, or not mentioned.","Supporting Information

Supporting Information can be a useful way for an author to include important but ancillary information with the online version of an article. Examples of Supporting Information include software code, additional tables, data sets, figures, movie files, audio clips, and other related nonessential multimedia files. Software code/syntax for widely available or open source software that enables researchers to use new procedures is particularly welcome and is likely to enhance the impact of your paper. 

...

Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.","0. Materials sharing is encouraged, or not mentioned.","Supporting Information

Supporting Information can be a useful way for an author to include important but ancillary information with the online version of an article. Examples of Supporting Information include software code, additional tables, data sets, figures, movie files, audio clips, and other related nonessential multimedia files. Software code/syntax for widely available or open source software that enables researchers to use new procedures is particularly welcome and is likely to enhance the impact of your paper. 

...

Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.",1. Journal articulates design transparency standards.,"Research Reporting Guidelines

We encourage authors to refer to and follow guidelines from:

    Future of Research Communications and e-Scholarship (FORCE11)
    The Gold Standard Publication Checklist from Hooijmans and colleagues
    FAIRsharing website
",0. Journal says nothing.,All systematic reviews must be pre-registered.,0. Journal says nothing.,,0. Journal says nothing.,,3. Journal accepts Registered Reports for novel studies as a regular submission option.,"The British Journal of Mathematical and Statistical Psychology publishes articles, review articles, expert tutorials and Registered Reports.",0. Journal says nothing.,,
10/8/2020 12:58:11,TEH,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,,https://perma.cc/N3JG-YKEQ,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
10/8/2020 13:01:25,TEH,JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION,AMERICAN PSYCHOANALYTIC ASSOCIATION,https://perma.cc/2DVN-5ERP,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
10/8/2020 13:03:32,TEH,PSYCHOANALYTIC STUDY OF THE CHILD,,https://perma.cc/KVW6-VA3E,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.","Supplemental online material. Supplemental material can be a video, dataset, fileset, sound file or anything which supports (and is pertinent to) your paper. We publish supplemental material online via Figshare. Find out more about supplemental material and how to submit it with your article.","0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
10/8/2020 13:05:52,TEH,INTERNATIONAL JOURNAL OF PSYCHOANALYSIS,,https://perma.cc/LL89-X7BX,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
10/8/2020 13:08:57,TEH,ETHOS,Society for Psychological Anthropology,https://perma.cc/C35T-5N5N?type=image,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
